PARTY_ID__C,PARTY_CLASS_CODE__C,PARTY_CLASS_CODE_MEANING__C,FIRST_NAME__C,LAST_NAME__C,SSN__C,ORG_NAME__C,NASDAQ_CODE__C,TRADE_MARK_ID__C,PRIMARY_ADDRESS_CITY__C,PRIMARY_ADDRESS_STATE__C,PRIMARY_ADDRESS_LINE_1__C,DUNS_NUMBER__C,PRIMARY_ADDRESS_LINE_2__C,PARTY_ROLE_TYPE__C,PARTY_ROLE_TYPE_MEANING__C,PARTY_ROLE_STATUS__C,SOUCE_SYSTEM_CODE__C,NICK_NAME__C,ALIAS_NAME__C,SOURCE_SYSTEM_MEANING__C,SOURCE_SYSTEM_DESCRIPTION__C,PRIMARY_ADDRESS_LINE_3__C,PRIMARY_ADDRESS_LINE_4__C,PRIMARY_ADDRESS_LINE_5__C,PRIMARY_ADDRESS_ZIPCODE__C,PRIMARY_ADDRESS_COUNTRY__C,SHIPPING_ADDRESS_LINE_1__C,SHIPPING_ADDRESS_LINE_2__C,SHIPPING_ADDRESS_LINE_3__C,SHIPPING_ADDRESS_LINE_4__C,SHIPPING_ADDRESS_LINE_5__C,SHIPPING_ADDRESS_CITY__C,SHIPPING_ADDRESS_STATE__C,SHIPPING_ADDRESS_ZIPCODE__C,SHIPPING_ADDRESS_COUNTRY__C,BILLING_ADDRESS_LINE_1__C,BILLING_ADDRESS_LINE_2__C,BILLING_ADDRESS_LINE_3__C,BILLING_ADDRESS_LINE_4__C,BILLING_ADDRESS_LINE_5__C,BILLING_ADDRESS_CITY__C,BILLING_ADDRESS_STATE__C,BILLING_ADDRESS_ZIPCODE__C,BILLING_ADDRESS_COUNTRY__C,REP_ADDRESS_LINE_1__C,REP_ADDRESS_LINE_2__C,REP_ADDRESS_LINE_3__C,REP_ADDRESS_LINE_4__C,REP_ADDRESS_LINE_5__C,REP_ADDRESS_CITY__C,REP_ADDRESS_STATE__C,REP_ADDRESS_ZIPCODE__C,REP_ADDRESS_COUNTRY__C,PRIMARY_EMAIL__C,SECONDARY_EMAIL__C,ALTERNATE_EMAIL__C,URL__C,OFFICE_NUMBER_1__C,OFFICE_EXTN_1__C,OFFICE_NUMBER_2__C,OFFICE_EXTN_2__C,HOME_NUMBER__C,CELL_NUMBER__C,FAX_NUMBER__C,PREFIX__C,MIDDLE_NAME__C,SUFFIX__C,GENDER__C,BIRTH_DATE__C,PASSPORT_NUMBER__C,DRIVING_LICENSE_ID__C,STATE_LICENSE_ID__C,REGISTERED_NAME__C,POPULAR_NAME__C,REGISTERED_NUMBER__C,TAX_ID__C,SOURCE_IDENTIFIER__C
1936111,Organization,ORGANIZATION,,,,"Dr. Reddy's Laboratories, Inc. ",NDC23423343,78688,Bridgewater,NJ,200 Sommerset Corporate Blvd (Bldg II),65-349-9877,,Hospital,Department,Active,ERP,,Dr Reddy's,Enterprise resource planning,Enterprise resource planning,,,,8807,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.Reddys@yahoo.co.in,,,www.DrReddys.com,3437657869,67867,2343456553,,,,234345907,,,,,,,,,"Dr. Reddy's Laboratories, Inc. ",Dr Reddy's,43245,67878,NASDAQ CODE
1936112,Organization,ORGANIZATION,,,,3M Pharmaceuticals   ,NDC42390432,78689,CHARLOTTE,NC,1000 BLYTHE BLVD,65-349-9878,,Clinic,Department,Active,ERP,,3M,Enterprise resource planning,Enterprise resource planning,,,,28203,US,,,,,,,,,,,,,,,,,,,1000 BLYTHE ,BLVD,,,,CHARLOTTE,NC,28203,US,3MPharmaceuticals@yahoo.co.in,3MPharmaceuticals@gmail.com,,www.3M.com,3214547565,57657,2343456554,,,,234345908,,,,,,,,,3M Pharmaceuticals   ,3M,67868,67879,NASDAQ CODE
1936113,Organization,ORGANIZATION,,,,7 Oaks Pharmaceutical Corp.,NDC34534534,78690,CHICAGO,IL,7435 W TALCOTT AVE,65-349-9879,,Hospital,Department,Active,ERP,,7 oaks,Enterprise resource planning,Enterprise resource planning,,,,60631,US,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,,,,,,,,,,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,7OaksPharmaceutical@gmail.com,,,www.7oaks.com,3455678766,65786,2343456555,,,,234345909,,,,,,,,,7 Oaks Pharmaceutical Corp.,7 oaks,78908,67880,NASDAQ CODE
1936114,Organization,ORGANIZATION,,,,Abbott Laboratories   ,NDC43589374,78691,AUSTIN,TX,6204 BALCONES DR,65-349-9880,,Department ,Department,Active,ERP,,Abbott,Enterprise resource planning,Enterprise resource planning,,,,78731,US,,,,,,,,,,,,,,,,,,,6204 BALCONES DR,,,,,AUSTIN,TX,78731,US,Abbott@gmail.com,,,www.Abbott.com,9875653423,76867,2343456556,,,,234345910,,,,,,,,,Abbott Laboratories   ,Abbott,77797,67881,NASDAQ CODE
1936115,Organization,ORGANIZATION,,,,ABKIT Inc.,NDC53489545,78692,CHARLOTTE,NC,2115 E 7TH ST STE 102,65-349-9881,,Hospital,Department,Active,ERP,,ABKIT,Enterprise resource planning,Enterprise resource planning,,,,28204,US,,,,,,,,,,,,,,,,,,,2115 E 7TH ST STE 102,,,,,CHARLOTTE,NC,28204,US,ABKIT@yahoo.co.in,,,www.ABKIT.com,3258677895,57657,2343456557,,,,234345911,,,,,,,,,ABKIT Inc.,ABKIT,34534,67882,NASDAQ CODE
1936116,Organization,ORGANIZATION,,,,Abrika Pharmaceuticals   ,NDC45378940,78693,AMES,IA,1111 DUFF AVE,65-349-9882,,Hospital,Department,Active,ERP,,Abrika,Enterprise resource planning,Enterprise resource planning,,,,50010,US,1111 DUFF AVE,,,,,AMES,IA,50010,US,,,,,,,,,,1111 DUFF AVE,,,,,AMES,IA,50010,US,Abrika@gmail.com,,,www.Abrika.com,7664565675,56757,2343456558,,,,234345912,,,,,,,,,Abrika Pharmaceuticals   ,Abrika,78970,67883,NASDAQ CODE
1936117,Organization,ORGANIZATION,,,,B.F. Ascher & Co. Ltd. pharmaceuticals   ,NDC48239030,78694,PITTSBURGH,PA,200 LOTHROP ST,65-349-9883,,Hospital,Department,Active,ERP,,B.F.Ascher,Enterprise resource planning,Enterprise resource planning,,,,15213,US,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,,,,,,,,,,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,B.F.Ascher@yahoo.co.in,,,www.B.F.Ascher.com,2334547687,65757,2343456559,,,,234345913,,,,,,,,,B.F. Ascher & Co. Ltd. pharmaceuticals   ,B.F.Ascher,90099,67884,NASDAQ CODE
1936118,Organization,ORGANIZATION,,,,"Astellas Pharma US, Inc.",NDC34809449,78695,METHUEN,MA,70 EAST ST,65-349-9884,,Hospital,Department,Active,ERP,,Astellas,Enterprise resource planning,Enterprise resource planning,,,,1844,US,70 EAST ST,,,,,METHUEN,MA,1844,US,,,,,,,,,,70 EAST ST,,,,,METHUEN,MA,1844,US,Astellas@gmail.com,,,www.Astellas.com,4537868653,57657,2343456560,,,,234345914,,,,,,,,,"Astellas Pharma US, Inc.",Astellas,45638,67885,NASDAQ CODE
1936119,Organization,ORGANIZATION,,,,"Anadys Pharmaceuticals, Inc.",NDC98943345,78696,FREEHOLD,NJ,901 WET MAIN STREET,65-349-9885,,Department ,Department,Active,ERP,,Anadys,Enterprise resource planning,Enterprise resource planning,,,,7728,US,,,,,,,,,,,,,,,,,,,901 WET MAIN STREET,,,,,FREEHOLD,NJ,7728,US,Anadys@yahoo.co.in,,,www.Anadys.com,3557848654,67878,2343456561,,,,234345915,,,,,,,,,"Anadys Pharmaceuticals, Inc.",Anadys,23452,67886,NASDAQ CODE
1936120,Organization,ORGANIZATION,,, ,Aplicare Inc.,NDC93045342,78697,MINNEAPOLIS,MN,1 VETERANS DR,65-349-9886,,Department ,Department,Active,ERP,,Aplicare,Enterprise resource planning,Enterprise resource planning,,,,55417,US,1 VETERANS DR,,,,,MINNEAPOLIS,MN,55417,US,,,,,,,,,,1 VETERANS DR,,,,,MINNEAPOLIS,MN,55417,US,Aplicare@yahoo.co.in,Aplicare@gmail.com,,www.Aplicare.com,4547567543,63456,2343456562,,,,234345916,,,,,,,,,Aplicare Inc.,Aplicare,43254,67887,NASDAQ CODE
1936121,Organization,ORGANIZATION,,,,"Apothecary Products, Inc.",NDC82304928,78698,HOUSTON,TX,909 FROSTWOOD DR STE 221,65-349-9887,,Hospital,Department,Active,ERP,,Apothecary,Enterprise resource planning,Enterprise resource planning,,,,77024,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apothecary@gmail.com,,,www.Apothecary.com,4357568675,67867,2343456563,,,,234345917,,,,,,,,,"Apothecary Products, Inc.",Apothecary,12234,67888,NASDAQ CODE
1936122,Organization,ORGANIZATION,,,,Arkopharma LLC,NDC34589034,78699,Bridgewater,NJ,200 Sommerset Corporate Blvd (Bldg II),65-349-9888,,Clinic,Department,Active,ERP,,Arkopharma,Enterprise resource planning,Enterprise resource planning,,,,8807,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkopharma@gmail.com,,,www.Arkopharma.com,4347858653,67868,2343456564,,,,234345918,,,,,,,,,Arkopharma LLC,Arkopharma,79505,67889,NASDAQ CODE
1936123,Organization,ORGANIZATION,,,,"AVANT Immunotherapeutics, Inc.",NDC23424349,78700,CHARLOTTE,NC,1000 BLYTHE BLVD,65-349-9889,,Hospital,Department,Active,ERP,,AVANT,Enterprise resource planning,Enterprise resource planning,,,,28203,US,,,,,,,,,,,,,,,,,,,1000 BLYTHE ,BLVD,,,,CHARLOTTE,NC,28203,US,AVANT@yahoo.co.in,,,www.AVANT.com,3457858765,67786,2343456565,,,,234345919,,,,,,,,,"AVANT Immunotherapeutics, Inc.",AVANT,54533,67890,NASDAQ CODE
1936124,Organization,ORGANIZATION,,,,Axcan Pharma Inc.,NDC85908343,78701,CHICAGO,IL,7435 W TALCOTT AVE,65-349-9890,,Department ,Department,Active,ERP,,Axcan,Enterprise resource planning,Enterprise resource planning,,,,60631,US,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,,,,,,,,,,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,Axcan@gmail.com,,,www.Axcan.com,1235347556,67867,2343456566,,,,234345920,,,,,,,,,Axcan Pharma Inc.,Axcan,45354,67891,NASDAQ CODE
1936125,Organization,ORGANIZATION,,,,"Azevan Pharmaceuticals, Inc. ",NDC23290359,78702,AUSTIN,TX,6204 BALCONES DR,65-349-9891,,Hospital,Department,Active,ERP,,Azevan,Enterprise resource planning,Enterprise resource planning,,,,78731,US,,,,,,,,,,,,,,,,,,,6204 BALCONES DR,,,,,AUSTIN,TX,78731,US,Azevan@gmail.com,,,www.Azevan.com,3454532323,67868,2343456567,,,,234345921,,,,,,,,,"Azevan Pharmaceuticals, Inc. ",Azevan,54532,67892,NASDAQ CODE
1936126,Organization,ORGANIZATION,,,,"Capellon Pharmaceuticals, Inc.",NDC89564503,78703,CHARLOTTE,NC,2115 E 7TH ST STE 102,65-349-9892,,Hospital,Department,Active,ERP,,Capellon,Enterprise resource planning,Enterprise resource planning,,,,28204,US,,,,,,,,,,,,,,,,,,,2115 E 7TH ST STE 102,,,,,CHARLOTTE,NC,28204,US,Capellon@yahoo.co.in,,,www.Capellon.com,2356457654,76896,2343456568,,,,234345922,,,,,,,,,"Capellon Pharmaceuticals, Inc.",Capellon,53463,67893,NASDAQ CODE
1936127,Organization,ORGANIZATION,,,,Dartmouth Pharmaceuticals   ,NDC93483403,78704,AMES,IA,1111 DUFF AVE,65-349-9893,,Hospital,Department,Active,ERP,,Dartmouth,Enterprise resource planning,Enterprise resource planning,,,,50010,US,1111 DUFF AVE,,,,,AMES,IA,50010,US,,,,,,,,,,1111 DUFF AVE,,,,,AMES,IA,50010,US,Dartmouth@yahoo.co.in,,,www.Dartmouth.com,2346547568,67867,2343456569,,,,234345923,,,,,,,,,Dartmouth Pharmaceuticals   ,Dartmouth,87654,67894,NASDAQ CODE
1936128,Organization,ORGANIZATION,,,,Dexcel Pharma Technologies Ltd.,NDC34890583,78705,PITTSBURGH,PA,200 LOTHROP ST,65-349-9894,,Hospital,Department,Active,ERP,,Dexcel,Enterprise resource planning,Enterprise resource planning,,,,15213,US,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,,,,,,,,,,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,Dexcel@gmail.com,,,www.Dexcel.com,4657566867,89077,2343456570,,,,234345924,,,,,,,,,Dexcel Pharma Technologies Ltd.,Dexcel,89675,67895,NASDAQ CODE
1936129,Organization,ORGANIZATION,,,,The Harvard Drug Group   ,NDC43985034,78706,METHUEN,MA,70 EAST ST,65-349-9895,,Department ,Department,Active,ERP,,Harvard Drug,Enterprise resource planning,Enterprise resource planning,,,,1844,US,70 EAST ST,,,,,METHUEN,MA,1844,US,,,,,,,,,,70 EAST ST,,,,,METHUEN,MA,1844,US,Harvard@gmail.com,,,www.HarvardDrug.com,3457648767,76897,2343456571,,,,234345925,,,,,,,,,The Harvard Drug Group   ,Harvard Drug,56454,67896,NASDAQ CODE
1936130,Organization,ORGANIZATION,,,,Reese Pharmaceutical Company   ,NDC12330483,78707,FREEHOLD,NJ,901 WET MAIN STREET,65-349-9896,,Department ,Department,Active,ERP,,Reese,Enterprise resource planning,Enterprise resource planning,,,,7728,US,,,,,,,,,,,,,,,,,,,901 WET MAIN STREET,,,,,FREEHOLD,NJ,7728,US,Reese@yahoo.co.in,,,www.reese.com,7899870090,78979,2343456572,,,,234345926,,,,,,,,,Reese Pharmaceutical Company   ,Reese,43566,67897,NASDAQ CODE
2012501,Person,Person,Sapna,Patel,111-22-3331,,,,VA,,611 TRENT ST NE NORTON,,,Physician,,Active,ERP,Sapna,,,,,,,24273,US,611 TRENT ST NE NORTON,VA,,,,,,24273,US,,,,,,,,,,611 TRENT ST NE NORTON,,,,,,VA,24273,US,Sapna_Patel@gmail.com,Sapna_Patel@yahoo.co.in,,,23415661,1234,,,23434565,7657658988,,Dr.,,,Female,1/1/1978,HP123456,JT123456,SL098764,,,,,SSN
2012502,Person,Person,Neal,Fischbach,111-22-3332,,,,SAN FRANCISCO,CA,400 PARNASSUS AVE,,,Physician,,Active,ERP,Neal,,,,,,,94143,US,,,,,,,,,,,,,,,,,,,111 BEACH RD STE 2,,,,,FAIRFIELD,CT,6824,US,Neal_Fischbach@gmail.com,Neal_Fischbach@yahoo.co.in,,,23415662,1235,,,23434566,7897897808,,Dr.,,,Male,2/1/1978,HP123457,JT123457,SL098765,,,,,SSN
2012503,Person,Person,David,Mc Cune,111-22-3333,,,,TACOMA,WA,5239 ENETAI AVE NE,,,Physician,,Active,ERP,David,,,,,,,98422,US,,,,,,,,,,,,,,,,,,,9040A REID ST,,,,,TACOMA,CT,98431,US,David_Mc Cune@gmail.com,David_Mc Cune@yahoo.co.in,,,23415663,1236,,,23434567,9543445334,,Dr.,Edwin,,Male,3/1/1978,HP123458,JT123458,SL098766,,,,,SSN
2012504,Person,Person,John,Gutheil,111-22-3334,,,,LA JOLLA,CA,7341 EADS AVE,,,Physician,,Active,ERP,John,,,,,,,92037,US,,,,,,,,,,,,,,,,,,,10421 PACIFIC CENTER CT STE 150,,,,,SAN DIEGO,CA,92121,US,John_Gutheil@gmail.com,John_Gutheil@yahoo.co.in,,,23415664,1237,,,23434568,9348932245,,Dr.,Christoph,,Male,4/1/1978,HP123459,JT123459,SL098767,,,,,SSN
2012505,Person,Person,Mary,Fujii,111-22-3335,,,,KNOXVILLE,TN,1114 E WEISGARBER RD STE A,,,Physician,,Active,ERP,Mary,,,,,,,37909,US,7257 N FRESNO ST,,,,,FRESNO,CA,93720,US,,,,,,,,,,1114 E WEISGARBER RD STE A,,,,,KNOXVILLE,TN,37909,US,Mary_Fujii@gmail.com,Mary_Fujii@yahoo.co.in,,,23415665,1238,,,23434569,9340054940,,Dr.,,,Female,5/1/1978,HP123460,JT123460,SL098768,,,,,SSN
2012506,Person,Person,Aldridge,Troutman,111-22-3336,,,,KNOXVILLE,TN,1114 D WEISGARBER RD STE A,,,Physician,,Active,ERP,Aldridge,,,,,,,37909,US,,,,,,,,,,,,,,,,,,,1114 D WEISGARBER RD STE A,,,,,KNOXVILLE,TN,37909,US,Aldridge_Troutman@gmail.com,Aldridge_Troutman@yahoo.co.in,,,23415666,1239,,,23434570,9034334554,,Dr.,,,Male,5/1/1979,HP123461,JT123461,SL098769,,,,,SSN
2012507,Person,Person,Saji,Eapen,111-22-3337,,,,KNOXVILLE,TN,1114 E WEISGARBER RD STE A,,,Physician,,Active,ERP,Saji,,,,,,,37909,US,,,,,,,,,,,,,,,,,,,1114 E WEISGARBER RD STE A,,,,,KNOXVILLE,TN,37909,US,Saji_Eapen@gmail.com,Saji_Eapen@yahoo.co.in,,,23415667,1240,,,23434571,9453332456,,Dr.,,,Female,5/1/1980,HP123462,JT123462,SL098770,,,,,SSN
2012508,Person,Person,Rabia,Parveez,111-22-3338,,,,FRESNO,CA,7257 N FRESNO ST,,,Physician,,Active,ERP,Rabia,,,,,,,93720,US,,,,,,,,,,,,,,,,,,,7257 N FRESNO ST,,,,,FRESNO,CA,93720,US,Rabia_Parveez@gmail.com,Rabia_Parveez@yahoo.co.in,,,23415668,1241,,,23434572,9043534654,,Dr.,,,Female,5/1/1981,HP123463,JT123463,SL098771,,,,,SSN
2012509,Person,Person,Matthew,Zoolakis,111-22-3339,,,,FRESNO,CA,7258 N FRESNO ST,,,Physician,,Active,ERP,Matthew,,,,,,,93721,US,,,,,,,,,,,,,,,,,,,7258 N FRESNO ST,,,,,FRESNO,CA,93721,US,Matthew_Zoolakis@gmail.com,Matthew_Zoolakis@yahoo.co.in,,,23415669,1242,,,23434573,9345354564,,Dr.,,,Male,5/1/1982,HP123464,JT123464,SL098772,,,,,SSN
2012510,Person,Person,Peter,Ogawa,111-22-3340,,,,FRESNO,CA,7259 N FRESNO ST,,,Physician,,Active,ERP,Peter,,,,,,,93722,US,,,,,,,,,,,,,,,,,,,7259 N FRESNO ST,,,,,FRESNO,CA,93722,US,Peter_Ogawa@gmail.com,Peter_Ogawa@yahoo.co.in,,,23415670,1243,,,23434574,9340534099,,Dr.,,,Male,5/1/1983,HP123465,JT123465,SL098773,,,,,SSN
2012511,Person,Person,Jone ,Smith,111-22-3341,,,,VA,,611 TRENT ST NE NORTON,,,Physician,,Active,ERP,Jone ,,,,,,,24273,US,611 TRENT ST NE NORTON,VA,,,,,,24273,US,,,,,,,,,,611 TRENT ST NE NORTON,,,,,,VA,24273,US,Jone _Smith@gmail.com,Jone _Smith@yahoo.co.in,,,23415671,1244,,,23434575,9034589556,,Dr.,,,Male,6/1/1983,HP123466,JT123466,SL098774,,,,,SSN
2012512,Person,Person,Jammy,Colon,111-22-3342,,,,SAN FRANCISCO,CA,400 PARNASSUS AVE,,,Physician,,Active,ERP,Jammy,,,,,,,94143,US,,,,,,,,,,,,,,,,,,,111 BEACH RD STE 2,,,,,FAIRFIELD,CT,6824,US,Jammy_Colon@gmail.com,Jammy_Colon@yahoo.co.in,,,23415672,1245,,,23434576,9438595454,,Dr.,,,Male,7/1/1983,HP123467,JT123467,SL098775,,,,,SSN
2012513,Person,Person,Arnold,Gates,111-22-3343,,,,TACOMA,WA,5239 ENETAI AVE NE,,,Physician,,Active,ERP,Arnold,,,,,,,98422,US,,,,,,,,,,,,,,,,,,,9040A REID ST,,,,,TACOMA,CT,98431,US,Arnold_Gates@gmail.com,Arnold_Gates@yahoo.co.in,,,23415673,1246,,,23434577,9835543534,,Dr.,,,Male,1/1/1978,HP123468,JT123468,SL098776,,,,,SSN
